tail,head,cost,capacity
115,124,708,0
78,112,1592,0
101,177,1666,0
48,3,1673,0
11,137,860,0
6,140,503,0
172,156,83,0
195,69,1421,0
158,91,1851,0
181,154,115,0
54,152,1879,0
128,26,168,0
91,20,723,0
114,143,1523,0
77,25,1580,0
24,91,23,0
185,72,949,0
171,109,477,0
194,134,677,0
67,172,335,0
104,24,1905,0
157,50,1256,0
90,87,366,0
53,65,1378,0
143,195,435,0
76,166,789,0
39,50,869,0
124,186,762,0
184,127,260,0
147,117,1960,0
170,62,1024,0
80,176,629,0
133,74,1591,0
119,113,1251,0
66,127,1533,0
89,134,1873,0
52,62,1246,0
15,170,145,0
160,87,1596,0
146,86,593,0
95,9,881,0
132,5,1014,0
169,143,93,0
42,135,1315,0
118,186,1063,0
65,46,47,0
28,86,517,0
189,69,1494,0
122,24,981,0
175,22,1926,0
198,157,1257,0
108,27,1276,0
145,39,1278,0
71,161,1341,0
94,66,1627,0
41,86,1432,0
64,145,812,0
27,7,1253,0
179,192,634,0
112,173,1478,0
188,114,127,0
151,126,254,0
121,81,1470,0
84,67,1374,0
107,98,1200,0
70,106,1680,0
93,139,1353,0
40,41,1535,0
3,191,547,0
26,196,1908,0
164,74,892,0
97,57,867,0
150,45,660,0
83,122,1066,0
46,114,959,0
173,132,1451,0
106,185,100,0
69,51,1113,0
16,65,1793,0
177,82,1122,0
126,15,1692,0
163,3,159,0
96,110,1105,0
59,82,40,0
82,81,1182,0
45,91,710,0
68,140,316,0
31,24,957,0
116,144,1356,0
176,101,1009,0
139,107,157,0
125,94,423,0
72,86,168,0
58,9,908,0
148,139,1250,0
81,152,819,0
44,36,502,0
7,176,1361,0
152,125,512,0
101,38,443,0
138,48,1111,0
87,119,103,0
34,97,1580,0
20,60,1765,0
158,198,493,0
181,111,1768,0
114,2,968,0
167,12,1327,0
100,113,1697,0
63,79,1042,0
33,40,1388,0
5,194,385,0
194,29,1724,0
104,131,1149,0
180,88,1102,0
143,84,159,0
113,75,1669,0
76,89,996,0
62,28,17,0
136,158,209,0
184,138,1873,0
193,76,1585,0
156,112,314,0
89,19,1044,0
142,7,225,0
75,96,629,0
38,116,266,0
98,195,398,0
8,39,66,0
47,142,1818,0
169,116,626,0
118,49,260,0
155,57,1463,0
88,68,300,0
51,120,1726,0
37,53,47,0
175,155,686,0
108,142,826,0
198,8,611,0
168,75,1406,0
131,65,1738,0
41,195,1387,0
117,104,1105,0
64,108,206,0
50,19,376,0
140,145,347,0
22,149,1819,0
188,133,1311,0
174,80,444,0
197,81,295,0
144,99,930,0
93,0,607,0
130,10,661,0
79,93,1139,0
26,75,1822,0
12,42,544,0
35,155,1418,0
187,52,72,0
150,184,1756,0
120,17,1613,0
173,121,1110,0
83,135,169,0
106,44,745,0
159,58,1626,0
92,79,438,0
55,117,733,0
25,2,189,0
163,140,170,0
186,119,798,0
149,97,1354,0
172,70,496,0
135,82,882,0
105,125,1493,0
68,119,1228,0
54,38,1448,0
128,164,335,0
10,136,1945,0
176,144,256,0
162,95,738,0
185,166,1558,0
58,156,526,0
111,32,1457,0
148,30,1637,0
81,21,1270,0
134,25,1985,0
67,70,1695,0
30,94,772,0
0,29,516,0
39,148,169,0
191,41,964,0
138,167,759,0
124,28,10,0
87,136,1929,0
161,14,1481,0
110,91,484,0
57,77,846,0
80,90,414,0
43,110,539,0
29,15,1309,0
167,129,248,0
190,98,1597,0
137,118,1947,0
123,77,970,0
160,177,1489,0
33,165,1176,0
86,51,293,0
109,114,1809,0
56,2,616,0
19,118,717,0
42,61,698,0
132,191,124,0
14,191,838,0
180,163,1032,0
113,192,521,0
166,74,409,0
189,171,847,0
62,139,1829,0
99,53,1722,0
136,9,422,0
85,106,1767,0
32,106,1469,0
71,75,878,0
18,85,1554,0
4,0,191,0
27,161,678,0
179,26,1668,0
142,146,565,0
112,23,860,0
75,157,678,0
165,19,479,0
98,86,914,0
151,192,1015,0
61,66,1239,0
84,165,1638,0
47,19,1962,0
17,36,1712,0
40,195,1795,0
192,14,867,0
155,178,354,0
178,113,1243,0
141,123,1827,0
127,86,103,0
164,172,284,0
74,46,468,0
37,186,76,0
97,135,1773,0
60,13,715,0
23,123,1467,0
2,178,1899,0
168,182,1038,0
154,105,1416,0
103,62,1269,0
50,134,386,0
140,4,1145,0
177,184,1940,0
73,127,1946,0
36,117,446,0
59,188,333,0
22,32,1740,0
31,178,21,0
197,198,677,0
183,23,1760,0
130,129,1141,0
116,42,1137,0
79,166,1768,0
153,32,912,0
102,77,1930,0
49,87,1821,0
72,176,1205,0
35,4,521,0
187,193,1954,0
120,156,1585,0
196,17,561,0
159,175,116,0
92,194,26,0
129,72,1172,0
182,68,1545,0
115,99,857,0
152,151,785,0
25,143,1275,0
78,21,1891,0
101,156,866,0
48,24,778,0
11,108,766,0
6,161,53,0
172,185,1044,0
195,104,34,0
158,124,1659,0
91,11,251,0
181,133,1808,0
54,189,116,0
128,63,774,0
77,116,907,0
24,64,460,0
63,161,946,0
10,63,1908,0
185,51,1192,0
111,181,1114,0
171,0,89,0
134,148,962,0
194,163,1236,0
157,45,1620,0
104,61,315,0
67,179,717,0
90,112,877,0
53,108,1960,0
76,131,1252,0
39,9,1411,0
124,151,1098,0
184,100,1553,0
147,88,474,0
170,91,930,0
133,85,387,0
119,108,1034,0
156,154,1986,0
29,132,1578,0
66,24,1149,0
89,169,1524,0
52,91,1931,0
15,81,429,0
160,76,1502,0
146,115,1362,0
95,20,291,0
42,160,410,0
132,34,1451,0
169,146,1459,0
65,65,575,0
28,115,1397,0
51,146,982,0
14,10,1120,0
166,193,1018,0
99,190,271,0
189,32,1528,0
122,5,1932,0
175,125,1120,0
108,48,1817,0
198,182,386,0
145,58,659,0
71,188,1588,0
94,103,310,0
41,121,1672,0
4,139,111,0
64,182,787,0
27,58,1873,0
13,195,794,0
112,130,1842,0
188,111,990,0
151,85,1957,0
84,40,1675,0
107,121,239,0
70,15,1428,0
144,141,589,0
17,145,86,0
93,166,1098,0
40,78,1619,0
3,66,24,0
192,153,1374,0
164,87,123,0
97,28,1616,0
150,6,362,0
173,159,438,0
83,97,1276,0
46,87,524,0
69,94,968,0
16,102,436,0
55,159,1955,0
2,9,1772,0
177,53,1626,0
103,179,561,0
126,16,1074,0
163,102,1133,0
96,67,989,0
59,73,866,0
82,106,124,0
45,118,1023,0
68,169,921,0
31,39,20,0
116,189,861,0
176,122,368,0
139,78,748,0
72,59,1809,0
58,114,64,0
21,110,948,0
81,179,247,0
44,65,580,0
7,79,1687,0
196,132,1805,0
129,197,1132,0
152,98,366,0
101,1,1751,0
138,29,1228,0
87,82,1064,0
34,90,1343,0
20,25,919,0
43,136,349,0
6,28,1184,0
181,10,1509,0
91,132,737,0
114,31,1490,0
167,107,112,0
100,94,727,0
63,42,1583,0
33,3,1567,0
104,168,175,0
194,54,1220,0
180,69,1914,0
143,115,1014,0
76,54,510,0
62,97,774,0
9,123,1513,0
85,192,272,0
193,103,373,0
156,109,1305,0
89,54,629,0
142,40,1392,0
75,71,1344,0
38,73,65,0
8,12,663,0
169,31,584,0
95,153,167,0
118,42,1334,0
155,92,1020,0
28,198,1356,0
88,105,914,0
51,31,1025,0
37,16,1437,0
175,134,1464,0
108,171,1867,0
198,45,817,0
168,80,1456,0
131,100,266,0
64,1,1193,0
50,108,1292,0
13,120,1636,0
22,142,183,0
121,193,1988,0
174,53,278,0
197,124,161,0
144,120,291,0
93,59,1020,0
130,39,1364,0
79,120,1286,0
26,116,416,0
12,7,78,0
187,43,611,0
150,157,667,0
173,20,817,0
159,65,1708,0
92,100,156,0
55,16,818,0
25,37,953,0
48,194,1136,0
163,147,1534,0
186,80,267,0
149,76,1583,0
172,99,114,0
135,105,473,0
68,28,1287,0
54,91,1084,0
1,77,427,0
10,149,1256,0
162,56,761,0
185,137,1493,0
111,15,1703,0
148,123,1060,0
81,40,1462,0
134,50,1839,0
7,192,1925,0
67,109,281,0
30,99,1704,0
0,50,1289,0
191,52,1052,0
138,128,1266,0
161,97,999,0
110,188,1904,0
147,178,1506,0
57,48,1896,0
20,172,302,0
80,127,608,0
43,5,808,0
29,42,1887,0
167,156,52,0
100,193,252,0
137,89,359,0
190,71,165,0
123,160,1558,0
86,20,415,0
160,150,247,0
33,152,765,0
56,103,1997,0
19,93,1270,0
42,70,549,0
5,82,1942,0
132,196,642,0
14,160,1781,0
166,47,1065,0
99,24,1795,0
136,110,377,0
189,134,898,0
85,85,1599,0
32,79,1973,0
71,102,429,0
18,110,479,0
4,45,1439,0
27,196,1133,0
179,1,101,0
142,183,1216,0
165,126,844,0
98,179,1268,0
151,191,1929,0
61,61,1567,0
8,183,916,0
84,130,1064,0
47,126,740,0
17,63,13,0
192,35,1166,0
155,169,756,0
178,74,537,0
141,86,1224,0
127,189,1057,0
164,137,1775,0
37,133,1301,0
74,11,1533,0
60,106,880,0
23,86,149,0
46,173,499,0
2,175,155,0
117,24,1880,0
154,18,1988,0
103,21,1511,0
140,97,1535,0
177,147,30,0
73,66,1478,0
36,82,1551,0
59,147,297,0
22,5,1374,0
174,192,1612,0
183,50,978,0
130,186,1986,0
153,75,782,0
102,166,853,0
139,168,1706,0
12,186,562,0
49,42,601,0
72,149,1703,0
35,107,594,0
21,196,1984,0
187,164,527,0
120,129,1925,0
196,62,1112,0
182,121,591,0
129,99,1630,0
115,134,1499,0
78,62,1335,0
152,188,637,0
25,178,52,0
48,125,1593,0
11,67,182,0
34,160,1199,0
6,186,1516,0
195,143,319,0
158,1,1814,0
105,13,318,0
91,46,504,0
128,84,460,0
181,160,142,0
77,79,1867,0
24,101,466,0
63,140,1652,0
10,24,938,0
185,22,1213,0
111,144,406,0
171,39,715,0
134,169,1784,0
157,72,1051,0
90,157,330,0
53,23,1417,0
0,141,976,0
143,149,1465,0
76,152,926,0
39,100,1927,0
191,185,299,0
124,140,275,0
184,73,962,0
57,189,667,0
147,63,1289,0
170,100,1371,0
133,112,580,0
119,139,1977,0
156,183,697,0
66,53,545,0
29,191,580,0
52,64,929,0
15,124,413,0
38,183,1777,0
137,198,1683,0
123,61,1207,0
86,163,1082,0
160,33,998,0
109,2,1992,0
146,12,1349,0
95,51,1267,0
169,181,807,0
132,79,1156,0
65,100,338,0
28,104,1718,0
51,185,41,0
14,47,1482,0
189,27,1041,0
99,133,1911,0
175,88,1265,0
145,93,947,0
94,136,1900,0
41,28,1344,0
4,144,1345,0
131,158,1177,0
64,171,1394,0
27,81,723,0
179,138,1122,0
112,103,529,0
188,68,1440,0
151,48,1029,0
61,178,442,0
84,21,1357,0
107,156,1255,0
70,32,746,0
17,180,1665,0
144,162,69,0
40,83,321,0
3,105,561,0
26,138,351,0
192,190,1231,0
127,38,1621,0
164,60,1646,0
74,190,1022,0
150,123,521,0
173,186,1738,0
46,56,1989,0
83,68,1219,0
69,121,840,0
16,123,273,0
55,186,1483,0
2,34,1164,0
154,153,1756,0
103,142,1163,0
177,8,409,0
163,77,1723,0
36,197,155,0
59,44,1678,0
82,135,432,0
135,147,966,0
45,17,1744,0
68,182,1710,0
31,66,651,0
183,135,1064,0
116,90,1015,0
176,95,1601,0
49,167,1551,0
139,37,1164,0
72,0,28,0
58,95,266,0
21,73,1352,0
44,94,1602,0
7,106,188,0
30,153,364,0
196,161,161,0
115,19,442,0
78,133,340,0
152,7,682,0
138,102,1347,0
87,73,1755,0
34,55,1026,0
20,6,419,0
43,175,590,0
6,49,1683,0
158,140,778,0
181,53,140,0
91,187,1324,0
167,70,1738,0
63,49,495,0
33,102,731,0
56,193,1440,0
5,136,1708,0
171,144,49,0
104,77,207,0
180,98,718,0
53,156,603,0
143,30,1068,0
76,19,257,0
62,74,1041,0
9,94,865,0
18,148,1966,0
119,28,1592,0
66,136,1805,0
156,10,1376,0
142,77,1693,0
15,193,889,0
75,90,1703,0
38,34,986,0
8,17,206,0
146,131,332,0
95,164,189,0
169,34,250,0
155,115,690,0
51,2,434,0
37,123,578,0
122,117,814,0
108,64,1851,0
198,198,306,0
168,117,206,0
131,11,284,0
41,137,1607,0
64,38,1671,0
50,73,1904,0
13,83,1405,0
121,36,927,0
174,30,396,0
107,9,1598,0
144,29,186,0
70,159,1234,0
130,64,645,0
79,103,1900,0
26,17,1617,0
12,28,932,0
35,197,102,0
187,14,1382,0
173,47,1599,0
159,108,1564,0
55,15,832,0
25,72,1313,0
126,96,1512,0
96,51,1096,0
149,55,663,0
186,189,413,0
172,120,1852,0
135,4,307,0
45,134,886,0
68,57,1835,0
54,124,1226,0
1,96,1085,0
125,41,1622,0
162,21,897,0
148,96,882,0
81,195,1612,0
134,87,1094,0
67,112,69,0
30,4,1395,0
0,87,492,0
191,19,335,0
161,68,882,0
87,194,1884,0
110,161,1587,0
57,27,1056,0
20,137,466,0
147,153,1623,0
43,24,363,0
29,69,919,0
114,111,1291,0
100,46,295,0
137,60,1566,0
190,168,143,0
123,135,1384,0
86,9,421,0
160,139,1531,0
56,76,1036,0
19,64,1773,0
42,99,1656,0
5,125,1931,0
14,197,1913,0
113,62,237,0
166,0,494,0
136,115,518,0
85,176,516,0
32,36,545,0
71,125,462,0
18,11,1645,0
4,74,1915,0
193,23,1518,0
179,36,773,0
165,89,989,0
98,172,1173,0
61,24,1763,0
8,156,1135,0
151,154,135,0
47,101,961,0
17,82,291,0
118,90,1325,0
88,25,1785,0
178,167,248,0
141,49,1136,0
127,152,1971,0
164,150,845,0
74,20,1886,0
60,71,1810,0
23,77,65,0
46,150,46,0
117,3,576,0
154,63,1058,0
140,126,1172,0
73,165,1953,0
36,63,1977,0
22,126,511,0
121,177,1647,0
174,165,633,0
197,12,701,0
183,41,898,0
153,110,702,0
102,187,1090,0
49,13,1211,0
139,143,1164,0
12,151,1380,0
35,78,419,0
21,175,1236,0
187,155,1544,0
120,102,602,0
106,89,920,0
182,146,205,0
129,6,1648,0
92,20,343,0
115,173,520,0
152,161,297,0
78,35,453,0
48,82,769,0
11,38,1431,0
34,157,1651,0
149,188,938,0
105,16,488,0
158,42,1860,0
195,146,1448,0
128,73,770,0
77,170,1950,0
24,10,540,0
10,101,776,0
125,190,194,0
162,168,53,0
111,127,773,0
171,58,244,0
134,194,427,0
157,99,1484,0
90,134,975,0
53,50,1039,0
0,162,1626,0
143,176,1097,0
39,67,373,0
9,180,365,0
191,132,1035,0
124,105,307,0
110,44,1766,0
57,160,1626,0
147,34,1427,0
170,129,524,0
133,27,1198,0
80,15,170,0
119,166,77,0
156,172,704,0
66,46,1889,0
52,109,948,0
15,27,852,0
38,136,1633,0
137,169,1145,0
123,16,592,0
86,132,1344,0
160,6,1813,0
109,29,1027,0
146,41,42,0
132,84,652,0
65,159,1632,0
28,5,148,0
14,80,1323,0
113,171,1687,0
166,191,802,0
99,104,519,0
175,71,283,0
32,191,1533,0
145,112,558,0
94,173,1159,0
41,39,1893,0
4,189,1176,0
131,165,467,0
27,116,50,0
13,185,350,0
179,177,359,0
112,124,1254,0
98,35,789,0
151,47,1973,0
61,173,369,0
107,179,297,0
40,120,831,0
3,12,1783,0
26,183,1113,0
192,83,1410,0
141,166,818,0
127,13,348,0
164,25,539,0
74,155,226,0
150,92,1971,0
23,198,1653,0
46,29,1228,0
69,132,520,0
16,16,1470,0
2,95,1056,0
117,136,1255,0
154,130,948,0
103,101,1830,0
163,80,932,0
36,162,1729,0
59,3,823,0
82,160,134,0
135,174,171,0
45,44,22,0
31,105,894,0
1,142,925,0
183,162,1175,0
116,71,535,0
102,54,279,0
49,186,726,0
139,56,1016,0
21,52,678,0
44,123,898,0
7,1,1936,0
30,162,1412,0
196,78,1866,0
129,147,73,0
115,54,347,0
152,44,1901,0
78,174,275,0
138,67,843,0
34,16,1631,0
20,99,232,0
6,74,753,0
195,31,985,0
158,145,1779,0
105,157,869,0
91,94,1526,0
167,93,880,0
24,149,350,0
63,28,1042,0
33,89,714,0
5,147,1008,0
171,183,722,0
104,82,947,0
90,13,1432,0
143,5,63,0
53,135,157,0
9,33,558,0
18,177,1366,0
184,57,1414,0
133,128,1539,0
119,59,838,0
66,165,1476,0
156,39,331,0
142,118,1648,0
38,7,648,0
8,118,1392,0
109,146,452,0
146,156,924,0
169,197,111,0
95,67,1412,0
65,20,65,0
28,152,1781,0
51,41,587,0
37,70,121,0
122,94,1391,0
108,93,330,0
94,24,1097,0
41,172,145,0
131,46,527,0
13,46,423,0
22,196,397,0
188,52,72,0
121,15,1449,0
174,3,805,0
107,44,59,0
144,50,435,0
70,176,491,0
130,125,1239,0
26,58,1404,0
12,121,251,0
97,103,1949,0
83,52,497,0
69,9,1417,0
16,139,963,0
55,42,1948,0
25,115,1578,0
126,69,1440,0
186,166,1791,0
149,18,1813,0
96,40,340,0
82,23,646,0
135,35,1444,0
45,161,1143,0
68,198,571,0
1,27,1506,0
176,47,247,0
125,4,1722,0
162,14,796,0
148,77,1090,0
134,104,806,0
30,41,1821,0
0,76,275,0
101,124,648,0
161,191,1515,0
87,57,1444,0
110,138,984,0
43,63,808,0
29,96,1766,0
114,72,1783,0
190,141,1665,0
137,7,654,0
100,11,1198,0
56,177,1175,0
19,39,1251,0
5,24,723,0
194,67,270,0
180,18,1639,0
113,17,1331,0
76,99,42,0
136,88,1174,0
85,155,10,0
32,25,1176,0
18,36,1280,0
4,87,1745,0
193,10,1161,0
89,73,1480,0
165,164,1199,0
75,42,1361,0
98,137,698,0
47,64,1013,0
17,117,383,0
118,127,1148,0
178,128,1213,0
141,12,1014,0
88,62,1267,0
60,188,1580,0
23,40,108,0
198,86,200,0
168,5,24,0
117,46,851,0
64,86,156,0
140,91,562,0
73,136,1975,0
36,4,1584,0
22,83,1035,0
121,148,622,0
174,142,15,0
197,23,1454,0
93,70,1096,0
153,145,836,0
79,23,1407,0
102,156,512,0
35,85,1964,0
21,138,302,0
187,126,1616,0
120,75,1331,0
106,98,1884,0
92,49,665,0
129,57,952,0
182,183,1781,0
48,183,831,0
11,61,600,0
186,45,1646,0
149,167,1246,0
96,163,806,0
172,8,1093,0
195,185,992,0
105,59,1215,0
68,73,1520,0
128,110,798,0
77,133,1391,0
24,47,1260,0
10,78,431,0
125,153,1275,0
162,133,1133,0
111,90,693,0
81,83,516,0
67,0,504,0
157,158,965,0
90,163,1496,0
39,94,1227,0
9,159,403,0
191,99,1815,0
124,70,472,0
87,178,1860,0
161,52,449,0
110,17,1820,0
57,139,1080,0
147,9,963,0
80,36,1173,0
133,38,1155,0
170,170,1820,0
52,138,1881,0
15,6,1097,0
190,56,1540,0
100,190,131,0
137,140,57,0
123,119,655,0
86,121,1266,0
109,56,1613,0
56,60,457,0
19,176,820,0
132,113,178,0
65,178,1798,0
28,34,927,0
14,117,1061,0
113,142,108,0
166,144,1664,0
99,79,487,0
122,180,1624,0
85,32,1234,0
32,148,1752,0
145,139,384,0
71,13,1695,0
94,182,981,0
27,107,39,0
193,135,429,0
13,148,960,0
179,84,1804,0
112,81,176,0
75,167,1329,0
165,41,413,0
98,28,998,0
61,136,347,0
151,10,960,0
40,157,814,0
3,19,1879,0
192,72,1811,0
88,137,1697,0
141,129,821,0
178,55,841,0
127,104,1157,0
74,100,444,0
60,55,499,0
23,189,684,0
46,6,836,0
69,175,1267,0
16,53,1797,0
2,120,1330,0
117,179,758,0
154,175,718,0
103,64,1463,0
177,198,299,0
126,163,1197,0
73,53,91,0
36,143,1462,0
82,189,365,0
31,116,221,0
197,156,777,0
1,161,427,0
183,89,694,0
116,108,578,0
79,152,193,0
153,30,861,0
102,11,743,0
49,157,1019,0
139,31,1244,0
21,31,1294,0
44,144,1695,0
7,28,117,0
196,107,1135,0
182,2,752,0
129,182,1702,0
92,132,358,0
115,93,1146,0
78,83,881,0
48,34,463,0
11,182,1931,0
34,13,1805,0
20,72,1735,0
6,111,1077,0
172,131,1173,0
195,34,1600,0
158,186,1603,0
105,160,1490,0
91,117,1517,0
114,174,780,0
77,58,1875,0
24,186,1054,0
185,105,835,0
5,190,1193,0
171,74,56,0
104,119,886,0
67,141,1603,0
157,19,1656,0
90,54,232,0
143,32,774,0
53,162,1609,0
76,197,22,0
9,4,1484,0
184,30,110,0
80,159,520,0
133,171,1026,0
170,17,198,0
119,86,769,0
66,94,1131,0
52,29,116,0
15,139,75,0
38,24,835,0
8,91,1205,0
160,118,1396,0
109,173,1531,0
146,185,1028,0
95,110,387,0
118,133,1194,0
65,15,1568,0
28,181,1945,0
189,102,1268,0
122,59,1116,0
175,55,850,0
108,122,1740,0
145,0,124,0
71,134,1612,0
94,61,181,0
131,53,1163,0
41,183,501,0
13,9,912,0
188,17,693,0
121,114,1083,0
84,98,535,0
107,67,549,0
70,85,288,0
40,8,71,0
3,156,441,0
26,39,1319,0
192,195,1971,0
12,86,768,0
164,105,1930,0
97,90,1504,0
83,27,1341,0
106,152,1996,0
69,20,1252,0
16,160,74,0
55,193,1942,0
177,115,865,0
126,46,701,0
163,32,544,0
96,13,356,0
59,115,843,0
186,131,1899,0
82,48,371,0
45,188,21,0
135,62,300,0
1,62,1607,0
176,4,386,0
125,127,376,0
72,117,1506,0
148,170,1214,0
58,40,142,0
44,11,1042,0
7,145,388,0
30,50,1904,0
0,97,1226,0
152,92,127,0
101,71,1745,0
161,146,747,0
87,20,994,0
181,64,648,0
114,37,1494,0
167,45,1258,0
100,16,678,0
63,108,977,0
190,150,1747,0
56,150,1952,0
19,10,1474,0
5,35,1911,0
194,124,554,0
180,63,312,0
113,116,969,0
76,120,729,0
62,63,727,0
136,189,145,0
85,134,27,0
18,193,1076,0
184,169,166,0
4,124,512,0
193,45,1032,0
156,87,1438,0
89,108,82,0
75,1,475,0
165,143,1606,0
8,198,1564,0
47,175,66,0
169,85,188,0
118,16,1846,0
155,6,204,0
88,35,1733,0
51,89,1056,0
178,157,1230,0
127,194,1684,0
60,153,1501,0
23,7,1889,0
175,184,18,0
198,107,477,0
168,42,1406,0
117,73,1983,0
64,75,336,0
50,50,1228,0
140,176,94,0
73,147,1037,0
22,180,1057,0
188,164,408,0
174,115,938,0
197,50,794,0
144,66,1625,0
70,192,706,0
93,97,658,0
79,50,897,0
153,180,1244,0
35,184,1187,0
187,85,1959,0
120,48,133,0
83,164,1213,0
173,90,1451,0
106,15,348,0
159,27,1924,0
92,46,1619,0
55,90,1114,0
182,168,1510,0
48,140,1611,0
11,16,643,0
163,173,1270,0
186,22,1034,0
149,130,632,0
96,152,1924,0
172,37,1470,0
105,94,738,0
68,86,878,0
128,131,301,0
54,1,21,0
10,171,600,0
176,191,1810,0
162,126,1254,0
111,65,50,0
58,191,88,0
148,61,292,0
81,118,493,0
157,185,1362,0
67,39,764,0
39,181,1330,0
191,78,1645,0
124,35,527,0
87,169,138,0
161,47,1453,0
110,122,29,0
57,110,1338,0
170,183,69,0
80,57,68,0
43,79,379,0
29,16,1042,0
52,183,1009,0
15,45,1863,0
167,166,1244,0
100,155,1753,0
137,151,1593,0
190,29,739,0
123,106,1143,0
86,82,926,0
109,83,593,0
56,33,1367,0
19,151,1904,0
132,158,1619,0
42,28,830,0
14,158,773,0
180,130,1717,0
166,117,1423,0
99,82,600,0
136,40,390,0
62,170,729,0
122,145,1026,0
85,11,292,0
32,137,138,0
145,174,1926,0
71,40,667,0
27,142,1851,0
193,186,965,0
179,123,1880,0
112,54,30,0
75,186,333,0
165,52,656,0
98,121,495,0
61,99,616,0
84,196,782,0
47,48,417,0
17,5,154,0
40,162,1008,0
3,54,376,0
192,109,1221,0
155,147,1964,0
178,16,271,0
88,174,592,0
141,156,1488,0
127,119,473,0
74,65,748,0
164,195,1911,0
97,160,889,0
60,44,643,0
23,152,590,0
2,149,1311,0
