tail,head,cost,capacity
160,87,336,0
199,78,1056,0
146,86,1048,0
169,143,1277,0
42,135,1145,0
95,9,977,0
132,5,443,0
118,186,1427,0
65,46,1670,0
28,86,724,0
189,69,1488,0
122,24,600,0
175,22,1489,0
198,157,1431,0
145,39,402,0
108,27,1072,0
71,161,485,0
94,66,1755,0
41,86,1645,0
64,145,1356,0
27,7,1867,0
179,192,1079,0
112,173,447,0
188,114,1791,0
151,126,1452,0
121,81,990,0
84,67,753,0
107,98,1017,0
70,106,394,0
93,139,421,0
40,41,16,0
3,191,1044,0
26,196,1015,0
164,74,826,0
97,57,307,0
150,45,1246,0
83,122,1116,0
46,114,1070,0
173,132,1844,0
106,185,667,0
69,51,1720,0
16,65,290,0
177,82,1006,0
126,15,1043,0
163,3,1065,0
96,110,1711,0
59,82,1840,0
82,81,1866,0
45,91,1119,0
68,140,56,0
31,24,1445,0
116,144,783,0
176,101,278,0
139,107,406,0
125,94,1568,0
72,86,651,0
148,139,977,0
58,9,1322,0
81,152,1429,0
44,36,1920,0
7,176,613,0
152,125,613,0
101,38,1499,0
138,48,823,0
87,119,1331,0
34,97,1881,0
20,60,1496,0
158,198,1091,0
181,111,1916,0
114,2,174,0
167,12,1181,0
100,113,98,0
63,79,540,0
33,40,1073,0
5,194,999,0
104,131,1781,0
194,29,798,0
180,88,351,0
143,84,1683,0
113,75,417,0
76,89,120,0
62,28,691,0
136,158,1708,0
184,138,952,0
193,76,1888,0
156,112,1056,0
89,19,1029,0
142,7,1992,0
75,96,425,0
38,116,1115,0
98,195,225,0
8,39,205,0
47,142,486,0
169,116,579,0
118,49,1926,0
155,57,1283,0
88,68,1212,0
51,120,1341,0
37,53,1433,0
175,155,1066,0
198,8,425,0
108,142,470,0
168,75,1176,0
131,65,1452,0
41,195,1927,0
117,104,119,0
64,108,1285,0
50,19,455,0
140,145,1391,0
22,149,1017,0
188,133,803,0
174,80,1809,0
197,81,373,0
144,99,1572,0
93,0,901,0
130,10,1941,0
79,93,1870,0
26,75,364,0
12,42,289,0
35,155,1097,0
187,52,1358,0
150,184,388,0
120,17,221,0
173,121,989,0
83,135,864,0
106,44,811,0
159,58,123,0
92,79,1710,0
55,117,456,0
25,2,310,0
163,140,886,0
186,119,1941,0
149,97,961,0
172,70,1425,0
135,82,1425,0
105,125,1294,0
68,119,1620,0
128,164,34,0
54,38,1336,0
10,136,791,0
176,144,244,0
162,95,452,0
111,32,570,0
58,156,1334,0
185,166,1232,0
148,30,20,0
81,21,1333,0
134,25,1413,0
67,70,1055,0
30,94,1315,0
0,29,1973,0
39,148,616,0
191,41,555,0
138,167,1405,0
124,28,1949,0
87,136,1331,0
161,14,981,0
110,91,315,0
57,77,153,0
80,90,1784,0
43,110,1335,0
29,15,1506,0
167,129,363,0
190,98,879,0
137,118,982,0
123,77,96,0
160,177,980,0
33,165,74,0
86,51,1934,0
109,114,1903,0
56,2,1874,0
19,118,726,0
42,61,983,0
132,191,506,0
14,191,1579,0
180,163,419,0
113,192,1388,0
166,74,609,0
99,53,634,0
189,171,1557,0
136,9,846,0
62,139,744,0
85,106,1732,0
32,106,820,0
71,75,396,0
18,85,565,0
4,0,1729,0
27,161,137,0
179,26,604,0
142,146,1007,0
112,23,1332,0
165,19,173,0
75,157,1361,0
98,86,96,0
151,192,1610,0
61,66,1322,0
84,165,1604,0
47,19,1453,0
17,36,1114,0
40,195,1838,0
192,14,1954,0
155,178,1338,0
178,113,793,0
141,123,816,0
127,86,1905,0
164,172,310,0
37,186,246,0
74,46,1714,0
97,135,1820,0
60,13,809,0
23,123,160,0
2,178,479,0
168,182,43,0
154,105,1758,0
103,62,500,0
177,184,1111,0
50,134,272,0
140,4,656,0
73,127,1281,0
36,117,1263,0
59,188,1503,0
22,32,1250,0
31,178,227,0
197,198,378,0
183,23,151,0
130,129,1036,0
116,42,733,0
153,32,12,0
79,166,952,0
102,77,556,0
49,87,1116,0
72,176,1981,0
35,4,422,0
187,193,391,0
120,156,306,0
196,17,460,0
159,175,1789,0
92,194,226,0
182,68,1766,0
129,72,927,0
115,99,962,0
78,21,504,0
25,143,514,0
152,151,957,0
101,156,262,0
48,24,533,0
11,108,1549,0
34,199,1703,0
6,161,520,0
172,185,1513,0
195,104,336,0
158,124,594,0
181,133,850,0
128,63,1199,0
91,11,826,0
54,189,1965,0
77,116,596,0
24,64,45,0
63,161,1776,0
10,63,1179,0
185,51,412,0
111,181,1670,0
171,0,1752,0
134,148,1482,0
104,61,981,0
194,163,1153,0
67,179,753,0
157,45,1243,0
90,112,1821,0
53,108,134,0
76,131,1011,0
39,9,184,0
124,151,1164,0
184,100,328,0
147,88,1007,0
170,91,628,0
133,85,1244,0
119,108,305,0
66,24,1293,0
29,132,1820,0
156,154,1777,0
89,169,285,0
52,91,689,0
15,81,17,0
160,76,1182,0
199,101,1192,0
146,115,1408,0
95,20,795,0
169,146,1143,0
42,160,959,0
132,34,1087,0
65,65,418,0
28,115,613,0
51,146,1232,0
14,10,1789,0
166,193,1166,0
99,190,974,0
189,32,956,0
122,5,1560,0
175,125,1856,0
108,48,1437,0
145,58,1602,0
71,188,636,0
198,182,1038,0
94,103,843,0
41,121,1139,0
4,139,1286,0
64,182,1335,0
27,58,406,0
13,195,975,0
112,130,776,0
188,111,970,0
151,85,1829,0
84,40,337,0
107,121,1103,0
70,15,1364,0
144,141,1512,0
17,145,1840,0
93,166,1349,0
40,78,85,0
3,66,431,0
192,153,1445,0
164,87,1161,0
97,28,1756,0
150,6,428,0
173,159,829,0
46,87,610,0
83,97,942,0
69,94,953,0
16,102,1099,0
55,159,879,0
2,9,633,0
103,179,1381,0
177,53,1851,0
126,16,1813,0
163,102,1639,0
96,67,1718,0
59,73,1924,0
82,106,952,0
45,118,1143,0
68,169,419,0
31,39,29,0
116,189,715,0
176,122,866,0
139,78,734,0
72,59,1315,0
58,114,1752,0
21,110,560,0
81,179,1232,0
44,65,1232,0
7,79,1838,0
196,132,1233,0
129,197,1418,0
152,98,519,0
101,1,644,0
138,29,1803,0
87,82,1322,0
34,90,318,0
20,25,51,0
43,136,1632,0
6,28,443,0
181,10,976,0
91,132,1324,0
114,31,754,0
167,107,308,0
100,94,977,0
63,42,39,0
33,3,1588,0
104,168,556,0
194,54,1351,0
180,69,1381,0
143,115,755,0
76,54,840,0
62,97,126,0
9,123,714,0
85,192,1147,0
193,103,15,0
156,109,1964,0
89,54,1315,0
142,40,967,0
75,71,750,0
38,73,1657,0
8,12,688,0
95,153,1860,0
169,31,1936,0
118,42,643,0
155,92,89,0
28,198,1458,0
88,105,1017,0
51,31,926,0
37,16,691,0
175,134,491,0
108,171,772,0
198,45,1561,0
168,80,79,0
131,100,701,0
64,1,303,0
50,108,1610,0
13,120,77,0
22,142,184,0
121,193,1303,0
174,53,1805,0
197,124,1769,0
144,120,1947,0
93,59,564,0
130,39,1812,0
79,120,1778,0
26,116,1929,0
12,7,1021,0
187,43,1293,0
150,157,1113,0
173,20,1167,0
159,65,183,0
92,100,274,0
55,16,1483,0
25,37,132,0
48,194,315,0
163,147,1234,0
186,80,199,0
149,76,1413,0
172,99,890,0
135,105,1480,0
68,28,424,0
54,91,1510,0
1,77,1133,0
10,149,747,0
162,56,1531,0
185,137,1811,0
111,15,289,0
148,123,938,0
81,40,1312,0
134,50,1763,0
7,192,627,0
67,109,1341,0
30,99,1207,0
0,50,824,0
191,52,141,0
138,128,1478,0
161,97,686,0
110,188,746,0
147,178,1057,0
20,172,1221,0
57,48,918,0
80,127,1460,0
43,5,420,0
29,42,1821,0
167,156,1421,0
190,71,591,0
137,89,1055,0
100,193,1816,0
123,160,1983,0
160,150,767,0
33,152,1975,0
86,20,1906,0
56,103,1717,0
19,93,1750,0
42,70,718,0
5,82,1767,0
132,196,928,0
14,160,1867,0
166,47,1503,0
99,24,1736,0
189,134,1410,0
136,110,400,0
85,85,1341,0
32,79,252,0
71,102,1661,0
18,110,1859,0
4,45,1464,0
27,196,1879,0
179,1,430,0
142,183,1848,0
165,126,1956,0
98,179,810,0
61,61,1472,0
8,183,850,0
151,191,366,0
84,130,444,0
47,126,382,0
17,63,1876,0
192,35,1945,0
155,169,1563,0
178,74,1484,0
141,86,366,0
127,189,1930,0
74,11,373,0
37,133,1598,0
164,137,1020,0
60,106,333,0
23,86,44,0
46,173,1512,0
2,175,542,0
117,24,308,0
154,18,1128,0
177,147,1304,0
140,97,1704,0
103,21,1730,0
73,66,1002,0
36,82,172,0
59,147,1520,0
22,5,1704,0
174,192,801,0
183,50,1708,0
130,186,1668,0
153,75,553,0
102,166,400,0
49,42,1736,0
12,186,1550,0
139,168,170,0
72,149,122,0
35,107,695,0
21,196,352,0
187,164,837,0
120,129,997,0
196,62,355,0
182,121,938,0
129,99,925,0
115,134,810,0
152,188,607,0
25,178,541,0
78,62,1197,0
48,125,1371,0
11,67,708,0
34,160,961,0
6,186,216,0
195,143,252,0
105,13,592,0
158,1,49,0
181,160,752,0
128,84,34,0
91,46,1145,0
77,79,1658,0
24,101,1396,0
63,140,1176,0
10,24,212,0
111,144,264,0
185,22,1903,0
171,39,1858,0
134,169,277,0
157,72,1666,0
90,157,1772,0
143,149,985,0
0,141,816,0
53,23,232,0
76,152,1870,0
39,100,856,0
191,185,1921,0
124,140,1493,0
184,73,840,0
147,63,241,0
57,189,1541,0
170,100,496,0
133,112,1300,0
119,139,154,0
156,183,715,0
29,191,115,0
66,53,894,0
52,64,1171,0
15,124,895,0
38,183,629,0
137,198,1067,0
123,61,724,0
86,163,745,0
160,33,1552,0
109,2,1397,0
146,12,1351,0
199,128,62,0
169,181,1802,0
132,79,1045,0
95,51,897,0
65,100,1324,0
28,104,703,0
51,185,230,0
14,47,1900,0
189,27,742,0
99,133,716,0
175,88,785,0
145,93,884,0
94,136,1301,0
131,158,551,0
4,144,1346,0
41,28,626,0
64,171,1334,0
27,81,1475,0
179,138,1234,0
112,103,164,0
188,68,1986,0
61,178,1353,0
151,48,1290,0
84,21,1711,0
107,156,902,0
144,162,978,0
17,180,568,0
70,32,1007,0
40,83,1338,0
3,105,1228,0
26,138,1252,0
192,190,1380,0
127,38,1558,0
164,60,1825,0
74,190,461,0
150,123,1158,0
173,186,527,0
46,56,1658,0
83,68,731,0
69,121,1832,0
16,123,158,0
55,186,1525,0
2,34,1427,0
154,153,1558,0
103,142,1162,0
177,8,267,0
163,77,1234,0
36,197,834,0
59,44,360,0
82,135,1284,0
135,147,1151,0
45,17,1496,0
68,182,690,0
31,66,1553,0
183,135,529,0
116,90,1199,0
176,95,1430,0
49,167,1358,0
139,37,1888,0
72,0,15,0
58,95,15,0
21,73,168,0
44,94,433,0
7,106,562,0
30,153,1696,0
196,161,1507,0
115,19,96,0
152,7,469,0
78,133,1927,0
138,102,1821,0
87,73,1223,0
34,55,1261,0
20,6,1839,0
43,175,1671,0
6,49,434,0
158,140,1162,0
91,187,308,0
181,53,63,0
167,70,185,0
63,49,1748,0
33,102,641,0
56,193,1632,0
5,136,1181,0
171,144,698,0
104,77,407,0
180,98,1586,0
53,156,1668,0
143,30,250,0
76,19,565,0
62,74,958,0
9,94,691,0
18,148,398,0
119,28,1249,0
156,10,249,0
66,136,1350,0
142,77,1226,0
15,193,432,0
75,90,1678,0
38,34,1865,0
8,17,682,0
146,131,932,0
169,34,1865,0
95,164,1001,0
155,115,1509,0
51,2,1744,0
37,123,1005,0
122,117,1421,0
108,64,619,0
198,198,1898,0
168,117,1976,0
131,11,131,0
41,137,154,0
64,38,1026,0
50,73,348,0
13,83,1478,0
121,36,1581,0
174,30,47,0
107,9,83,0
70,159,1637,0
144,29,442,0
130,64,1654,0
79,103,1420,0
26,17,251,0
12,28,1778,0
35,197,1291,0
187,14,1791,0
173,47,1740,0
159,108,1053,0
55,15,1602,0
25,72,226,0
126,96,1036,0
96,51,766,0
149,55,1696,0
186,189,611,0
172,120,1653,0
45,134,1111,0
135,4,1676,0
68,57,616,0
54,124,44,0
1,96,1060,0
125,41,95,0
162,21,1612,0
148,96,1553,0
81,195,1533,0
134,87,17,0
67,112,924,0
30,4,1115,0
0,87,970,0
191,19,177,0
161,68,912,0
87,194,512,0
110,161,202,0
147,153,1927,0
20,137,1118,0
57,27,1943,0
43,24,1284,0
29,69,786,0
114,111,516,0
100,46,162,0
137,60,1086,0
190,168,1209,0
123,135,701,0
86,9,363,0
160,139,1832,0
56,76,249,0
19,64,1401,0
42,99,1822,0
5,125,701,0
14,197,1825,0
113,62,1557,0
166,0,996,0
136,115,602,0
85,176,1490,0
32,36,1703,0
71,125,453,0
18,11,210,0
4,74,1307,0
193,23,626,0
179,36,802,0
165,89,967,0
98,172,20,0
61,24,31,0
8,156,485,0
151,154,1349,0
47,101,522,0
17,82,199,0
118,90,1862,0
178,167,1312,0
88,25,549,0
141,49,371,0
127,152,331,0
74,20,63,0
164,150,976,0
60,71,1684,0
23,77,1570,0
46,150,1381,0
117,3,1544,0
154,63,1936,0
140,126,830,0
73,165,1709,0
36,63,823,0
22,126,1415,0
121,177,1733,0
174,165,1521,0
197,12,1957,0
183,41,598,0
153,110,607,0
102,187,1970,0
139,143,1777,0
49,13,1078,0
12,151,1808,0
35,78,1437,0
21,175,445,0
187,155,931,0
120,102,1294,0
106,89,1311,0
182,146,773,0
129,6,80,0
92,20,357,0
115,173,1943,0
78,35,1594,0
152,161,255,0
48,82,947,0
11,38,1426,0
34,157,1669,0
149,188,1995,0
105,16,837,0
158,42,1929,0
195,146,1467,0
128,73,41,0
77,170,1477,0
24,10,759,0
10,101,1376,0
125,190,1270,0
162,168,1716,0
111,127,1465,0
171,58,1294,0
134,194,1623,0
157,99,1921,0
90,134,95,0
143,176,1067,0
53,50,252,0
0,162,569,0
39,67,296,0
9,180,830,0
191,132,1659,0
124,105,1568,0
110,44,792,0
147,34,967,0
57,160,1901,0
80,15,364,0
170,129,386,0
133,27,68,0
119,166,1100,0
66,46,901,0
156,172,1212,0
52,109,1889,0
15,27,1335,0
38,136,1566,0
137,169,396,0
123,16,272,0
86,132,1070,0
160,6,517,0
199,159,1877,0
109,29,1729,0
146,41,1305,0
132,84,505,0
65,159,692,0
28,5,1619,0
14,80,1230,0
113,171,434,0
166,191,1659,0
99,104,1843,0
175,71,1434,0
32,191,769,0
145,112,1383,0
94,173,1433,0
41,39,640,0
4,189,1615,0
131,165,1197,0
27,116,487,0
13,185,1073,0
179,177,1296,0
112,124,1460,0
98,35,124,0
151,47,1105,0
61,173,1590,0
107,179,1327,0
40,120,1889,0
3,12,1227,0
26,183,849,0
192,83,900,0
141,166,320,0
127,13,607,0
74,155,1947,0
164,25,553,0
150,92,1931,0
23,198,580,0
46,29,1093,0
69,132,1002,0
16,16,661,0
2,95,991,0
117,136,1379,0
154,130,1205,0
103,101,1603,0
163,80,418,0
36,162,210,0
59,3,1522,0
82,160,389,0
135,174,640,0
45,44,588,0
31,105,224,0
1,142,51,0
183,162,1714,0
116,71,1302,0
102,54,1275,0
49,186,513,0
139,56,1011,0
21,52,1191,0
44,123,1257,0
7,1,801,0
30,162,901,0
196,78,1051,0
129,147,76,0
115,54,674,0
152,44,234,0
78,174,218,0
138,67,564,0
34,16,595,0
20,99,932,0
6,74,1884,0
195,31,1637,0
105,157,1493,0
158,145,1618,0
91,94,1456,0
167,93,171,0
24,149,548,0
63,28,1092,0
33,89,1767,0
5,147,47,0
171,183,1662,0
104,82,1688,0
90,13,1614,0
143,5,842,0
53,135,1195,0
9,33,676,0
18,177,1682,0
184,57,1507,0
133,128,452,0
119,59,1690,0
66,165,1187,0
156,39,675,0
142,118,351,0
38,7,149,0
8,118,1562,0
199,16,861,0
109,146,1971,0
146,156,939,0
95,67,1985,0
169,197,1377,0
65,20,1260,0
28,152,777,0
51,41,207,0
37,70,958,0
122,94,595,0
108,93,1277,0
94,24,164,0
131,46,1903,0
41,172,1494,0
13,46,561,0
22,196,715,0
188,52,875,0
121,15,1693,0
174,3,631,0
107,44,1267,0
144,50,52,0
70,176,738,0
130,125,1618,0
26,58,1959,0
12,121,1198,0
97,103,1152,0
83,52,1992,0
69,9,884,0
16,139,1838,0
55,42,298,0
25,115,917,0
126,69,1773,0
186,166,1881,0
149,18,1404,0
96,40,49,0
82,23,626,0
45,161,603,0
135,35,128,0
68,198,1046,0
1,27,1860,0
176,47,523,0
125,4,1288,0
162,14,488,0
148,77,920,0
134,104,1662,0
30,41,1830,0
0,76,1686,0
101,124,774,0
161,191,1318,0
87,57,675,0
110,138,1206,0
43,63,87,0
29,96,1389,0
114,72,725,0
100,11,1382,0
137,7,756,0
190,141,1623,0
56,177,931,0
19,39,1849,0
5,24,962,0
194,67,1456,0
180,18,1810,0
113,17,410,0
76,99,736,0
136,88,387,0
85,155,1448,0
32,25,495,0
18,36,1028,0
4,87,123,0
193,10,1353,0
89,73,1932,0
75,42,1431,0
165,164,1927,0
98,137,1080,0
47,64,663,0
17,117,930,0
118,127,1791,0
88,62,1079,0
178,128,482,0
141,12,1659,0
60,188,872,0
23,40,1936,0
198,86,1947,0
168,5,59,0
117,46,909,0
64,86,925,0
140,91,1380,0
73,136,608,0
36,4,844,0
22,83,1565,0
121,148,1511,0
174,142,169,0
197,23,706,0
93,70,761,0
79,23,1505,0
153,145,773,0
102,156,310,0
35,85,950,0
21,138,1120,0
187,126,1799,0
120,75,1228,0
106,98,826,0
182,183,44,0
129,57,1868,0
92,49,872,0
48,183,387,0
11,61,1160,0
186,45,1347,0
96,163,1687,0
149,167,1116,0
172,8,1014,0
105,59,938,0
68,73,1408,0
195,185,946,0
128,110,1856,0
77,133,930,0
24,47,1659,0
10,78,1952,0
125,153,1200,0
162,133,1677,0
111,90,1804,0
81,83,245,0
157,158,764,0
67,0,244,0
90,163,364,0
0,199,41,0
39,94,1208,0
9,159,1321,0
191,99,1142,0
124,70,1346,0
161,52,748,0
87,178,1694,0
110,17,1184,0
57,139,1969,0
147,9,194,0
80,36,283,0
170,170,444,0
133,38,954,0
52,138,1596,0
15,6,1200,0
190,56,171,0
137,140,149,0
100,190,1370,0
123,119,478,0
86,121,740,0
199,186,1993,0
56,60,152,0
19,176,1037,0
109,56,1763,0
132,113,1232,0
65,178,455,0
28,34,455,0
14,117,1237,0
113,142,474,0
166,144,645,0
99,79,1456,0
122,180,293,0
85,32,1724,0
32,148,344,0
145,139,580,0
71,13,418,0
94,182,948,0
27,107,674,0
193,135,189,0
13,148,1155,0
179,84,1412,0
112,81,530,0
165,41,450,0
75,167,117,0
98,28,1387,0
61,136,1031,0
151,10,794,0
40,157,924,0
3,19,776,0
192,72,1553,0
88,137,1340,0
141,129,523,0
178,55,704,0
127,104,1069,0
74,100,100,0
60,55,358,0
23,189,454,0
46,6,1319,0
69,175,437,0
16,53,1086,0
2,120,994,0
117,179,730,0
154,175,572,0
103,64,1040,0
177,198,284,0
126,163,753,0
73,53,1247,0
36,143,840,0
82,189,1551,0
31,116,1900,0
197,156,472,0
1,161,186,0
183,89,1652,0
116,108,344,0
79,152,74,0
153,30,874,0
102,11,376,0
139,31,1044,0
49,157,439,0
21,31,972,0
44,144,126,0
7,28,1483,0
196,107,294,0
92,132,401,0
182,2,632,0
129,182,615,0
115,93,832,0
78,83,881,0
48,34,267,0
11,182,786,0
34,13,1898,0
20,72,999,0
6,111,770,0
172,131,1236,0
105,160,364,0
158,186,1603,0
195,34,358,0
91,117,1305,0
114,174,922,0
77,58,956,0
24,186,97,0
185,105,1415,0
5,190,1114,0
171,74,1751,0
104,119,548,0
157,19,1000,0
67,141,241,0
90,54,215,0
143,32,117,0
53,162,1445,0
76,197,1643,0
9,4,1241,0
184,30,1385,0
170,17,1630,0
133,171,20,0
80,159,1596,0
119,86,682,0
66,94,330,0
52,29,1269,0
15,139,360,0
38,24,484,0
8,91,1950,0
160,118,1386,0
109,173,1789,0
146,185,722,0
199,47,367,0
95,110,409,0
118,133,1944,0
65,15,1384,0
28,181,1417,0
189,102,260,0
122,59,332,0
175,55,1557,0
108,122,893,0
145,0,1400,0
71,134,1739,0
94,61,1607,0
41,183,1498,0
131,53,141,0
13,9,1889,0
188,17,716,0
121,114,1366,0
84,98,346,0
107,67,17,0
70,85,962,0
40,8,1779,0
3,156,207,0
26,39,636,0
192,195,926,0
12,86,410,0
164,105,1040,0
97,90,1354,0
83,27,972,0
106,152,1053,0
69,20,895,0
16,160,1273,0
55,193,1565,0
177,115,445,0
126,46,1183,0
163,32,558,0
96,13,530,0
59,115,1886,0
186,131,920,0
82,48,844,0
45,188,606,0
135,62,883,0
1,62,1749,0
176,4,1647,0
125,127,205,0
72,117,301,0
148,170,207,0
58,40,1563,0
44,11,751,0
7,145,432,0
30,50,238,0
0,97,302,0
152,92,258,0
101,71,1390,0
87,20,1242,0
161,146,88,0
181,64,1845,0
114,37,1056,0
167,45,1742,0
100,16,1797,0
63,108,1786,0
190,150,1011,0
56,150,1785,0
19,10,528,0
5,35,957,0
171,199,1544,0
194,124,1453,0
180,63,1178,0
113,116,876,0
76,120,277,0
62,63,442,0
136,189,936,0
85,134,1829,0
18,193,829,0
184,169,899,0
4,124,1252,0
193,45,1991,0
156,87,38,0
89,108,50,0
165,143,1097,0
75,1,1775,0
8,198,1647,0
47,175,1674,0
169,85,345,0
118,16,721,0
155,6,166,0
88,35,25,0
51,89,369,0
178,157,320,0
127,194,1942,0
60,153,1274,0
23,7,402,0
175,184,261,0
198,107,424,0
168,42,47,0
117,73,12,0
64,75,900,0
50,50,159,0
140,176,522,0
73,147,94,0
22,180,202,0
188,164,1951,0
174,115,1120,0
197,50,1478,0
70,192,1455,0
144,66,572,0
93,97,146,0
79,50,1760,0
153,180,574,0
35,184,1979,0
187,85,587,0
120,48,539,0
173,90,598,0
83,164,151,0
106,15,959,0
159,27,153,0
92,46,565,0
55,90,1695,0
182,168,775,0
48,140,1414,0
11,16,1531,0
163,173,247,0
96,152,138,0
149,130,1647,0
186,22,825,0
172,37,417,0
105,94,698,0
68,86,632,0
128,131,503,0
54,1,357,0
10,171,893,0
176,191,560,0
162,126,389,0
185,199,1395,0
148,61,1564,0
58,191,49,0
111,65,609,0
81,118,1230,0
157,185,1614,0
67,39,1042,0
39,181,468,0
191,78,92,0
124,35,1746,0
161,47,1694,0
87,169,1820,0
110,122,1413,0
57,110,1151,0
80,57,1711,0
43,79,149,0
170,183,1153,0
29,16,1495,0
52,183,74,0
15,45,1469,0
167,166,469,0
100,155,297,0
137,151,1926,0
190,29,398,0
123,106,1037,0
86,82,445,0
109,83,18,0
56,33,834,0
19,151,519,0
132,158,402,0
42,28,823,0
14,158,1869,0
180,130,1293,0
166,117,293,0
99,82,1287,0
136,40,995,0
62,170,901,0
122,145,205,0
85,11,978,0
32,137,1708,0
145,174,571,0
71,40,1432,0
27,142,27,0
193,186,1642,0
179,123,1147,0
112,54,1125,0
75,186,321,0
165,52,925,0
98,121,49,0
61,99,1175,0
84,196,1985,0
47,48,1019,0
